Date,Medicine Name,Quantity Sold,Category,Price per Unit,Stock Remaining,Supplier,Season,Location,Reorder Threshold
2010-01-01,Paracetamol,39,Analgesic,44.09,947,Supplier A,Winter,Aisle 10,No
2010-01-01,Ibuprofen,161,NSAID,9.06,798,Supplier C,Winter,Aisle 2,No
2010-01-01,Aspirin,36,NSAID,22.73,665,Supplier B,Winter,Aisle 7,No
2010-01-01,Amoxicillin,185,Antibiotic,6.58,578,Supplier A,Winter,Aisle 7,No
2010-01-01,Cetirizine,166,Antihistamine,40.39,348,Supplier D,Winter,Aisle 6,No
2010-01-01,Loratadine,108,Antihistamine,17.09,575,Supplier C,Winter,Aisle 5,No
2010-01-01,Omeprazole,26,Antacid,23.99,707,Supplier B,Winter,Aisle 3,No
2010-01-01,Metformin,160,Antidiabetic,20.87,361,Supplier C,Winter,Aisle 6,No
2010-01-01,Simvastatin,177,Lipid-lowering,10.57,780,Supplier C,Winter,Aisle 4,No
2010-01-01,Diazepam,91,Benzodiazepine,40.36,607,Supplier B,Winter,Aisle 2,No
2010-01-01,Ciprofloxacin,87,Antibiotic,9.76,871,Supplier B,Winter,Aisle 10,No
2010-01-01,Levothyroxine,21,Thyroid Hormone,19.27,710,Supplier D,Winter,Aisle 2,No
2010-01-08,Paracetamol,83,Analgesic,44.35,864,Supplier D,Winter,Aisle 6,No
2010-01-08,Ibuprofen,98,NSAID,46.93,700,Supplier D,Winter,Aisle 5,No
2010-01-08,Aspirin,26,NSAID,49.15,639,Supplier A,Winter,Aisle 1,No
2010-01-08,Amoxicillin,103,Antibiotic,29.23,475,Supplier B,Winter,Aisle 3,No
2010-01-08,Cetirizine,72,Antihistamine,33.2,276,Supplier A,Winter,Aisle 1,No
2010-01-08,Loratadine,89,Antihistamine,28.9,486,Supplier D,Winter,Aisle 10,No
2010-01-08,Omeprazole,36,Antacid,5.09,671,Supplier D,Winter,Aisle 3,No
2010-01-08,Metformin,177,Antidiabetic,10.02,184,Supplier C,Winter,Aisle 8,No
2010-01-08,Simvastatin,138,Lipid-lowering,23.6,642,Supplier A,Winter,Aisle 4,No
2010-01-08,Diazepam,192,Benzodiazepine,36.78,415,Supplier D,Winter,Aisle 6,No
2010-01-08,Ciprofloxacin,28,Antibiotic,37.06,843,Supplier D,Winter,Aisle 3,No
2010-01-08,Levothyroxine,81,Thyroid Hormone,42.17,629,Supplier C,Winter,Aisle 9,No
2010-01-15,Paracetamol,184,Analgesic,22.19,680,Supplier D,Winter,Aisle 1,No
2010-01-15,Ibuprofen,22,NSAID,37.81,678,Supplier A,Winter,Aisle 10,No
2010-01-15,Aspirin,23,NSAID,41.81,616,Supplier C,Winter,Aisle 6,No
2010-01-15,Amoxicillin,163,Antibiotic,39.26,312,Supplier A,Winter,Aisle 4,No
2010-01-15,Cetirizine,94,Antihistamine,9.98,182,Supplier D,Winter,Aisle 2,No
2010-01-15,Loratadine,115,Antihistamine,37.1,371,Supplier C,Winter,Aisle 5,No
2010-01-15,Omeprazole,101,Antacid,8.78,570,Supplier A,Winter,Aisle 1,No
2010-01-15,Metformin,144,Antidiabetic,28.12,40,Supplier A,Winter,Aisle 4,Yes
2010-01-15,Simvastatin,41,Lipid-lowering,49.55,601,Supplier D,Winter,Aisle 8,No
2010-01-15,Diazepam,111,Benzodiazepine,7.02,304,Supplier A,Winter,Aisle 7,No
2010-01-15,Ciprofloxacin,58,Antibiotic,44.07,785,Supplier D,Winter,Aisle 5,No
2010-01-15,Levothyroxine,184,Thyroid Hormone,11.29,445,Supplier A,Winter,Aisle 1,No
2010-01-22,Paracetamol,36,Analgesic,13.46,644,Supplier D,Winter,Aisle 2,No
2010-01-22,Ibuprofen,92,NSAID,30.57,586,Supplier D,Winter,Aisle 3,No
2010-01-22,Aspirin,133,NSAID,32.0,483,Supplier C,Winter,Aisle 9,No
2010-01-22,Amoxicillin,97,Antibiotic,40.94,215,Supplier C,Winter,Aisle 8,No
2010-01-22,Cetirizine,55,Antihistamine,11.25,127,Supplier D,Winter,Aisle 7,No
2010-01-22,Loratadine,64,Antihistamine,17.77,307,Supplier B,Winter,Aisle 8,No
2010-01-22,Omeprazole,161,Antacid,25.07,409,Supplier B,Winter,Aisle 3,No
2010-01-22,Metformin,108,Antidiabetic,25.54,-68,Supplier D,Winter,Aisle 10,Yes
2010-01-22,Simvastatin,83,Lipid-lowering,47.01,518,Supplier D,Winter,Aisle 7,No
2010-01-22,Diazepam,94,Benzodiazepine,23.99,210,Supplier D,Winter,Aisle 5,No
2010-01-22,Ciprofloxacin,43,Antibiotic,33.83,742,Supplier B,Winter,Aisle 8,No
2010-01-22,Levothyroxine,47,Thyroid Hormone,39.8,398,Supplier A,Winter,Aisle 10,No
2010-01-29,Paracetamol,102,Analgesic,44.54,542,Supplier B,Winter,Aisle 4,No
2010-01-29,Ibuprofen,42,NSAID,32.53,544,Supplier C,Winter,Aisle 4,No
2010-01-29,Aspirin,110,NSAID,29.29,373,Supplier C,Winter,Aisle 5,No
2010-01-29,Amoxicillin,134,Antibiotic,19.17,81,Supplier B,Winter,Aisle 3,Yes
2010-01-29,Cetirizine,112,Antihistamine,43.66,15,Supplier C,Winter,Aisle 7,Yes
2010-01-29,Loratadine,124,Antihistamine,12.83,183,Supplier A,Winter,Aisle 7,No
2010-01-29,Omeprazole,134,Antacid,42.8,275,Supplier B,Winter,Aisle 8,No
2010-01-29,Metformin,43,Antidiabetic,30.1,-43,Supplier B,Winter,Aisle 1,Yes
2010-01-29,Simvastatin,171,Lipid-lowering,8.66,347,Supplier D,Winter,Aisle 3,No
2010-01-29,Diazepam,133,Benzodiazepine,49.47,77,Supplier D,Winter,Aisle 6,Yes
2010-01-29,Ciprofloxacin,130,Antibiotic,47.06,612,Supplier C,Winter,Aisle 3,No
2010-01-29,Levothyroxine,73,Thyroid Hormone,49.22,325,Supplier C,Winter,Aisle 2,No
2010-02-05,Paracetamol,145,Analgesic,26.08,397,Supplier C,Winter,Aisle 1,No
2010-02-05,Ibuprofen,103,NSAID,14.39,441,Supplier D,Winter,Aisle 7,No
2010-02-05,Aspirin,189,NSAID,33.34,184,Supplier D,Winter,Aisle 5,No
2010-02-05,Amoxicillin,47,Antibiotic,45.4,34,Supplier A,Winter,Aisle 8,Yes
